lookback_days
333.0
870.0
2118.0
4046.0
4440.0
1778.0
1250.0
1167.0
1715.0
977.0
435.0
331.0
285.0
297.0
261.0
231.0
44.0
320.0
431.0
449.0
495.0
415.0
541.0
498.0
571.0
576.0
231.0
1024.0
1106.0
1466.0
1785.0
1604.0
1773.0
1679.0
1760.0
1435.0
1201.0
989.0
927.0
897.0
933.0
805.0
784.0
813.0
581.0
584.0
568.0
381.0
441.0
336.0
